job_id,stage,batch_size,block_ms_per_batch_step,calibration_multiplication_included,family,fitted_global_multiplier_count,grid,kind,max_ms_per_batch_step,median_ms_per_batch_step,min_ms_per_batch_step,parameter_count,parameter_count_convention,prior,timing_source,weights
development__allen_cahn__correct,development,1,"[0.6331105, 0.70931415, 0.6634326, 0.67737555, 0.6473178]",False,allen_cahn,0,32,fno,0.70931415,0.6634326,0.6331105,209985,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__burgers__coefficient,development,1,"[0.5296338, 0.5318231, 0.5064229, 0.53631335, 0.49006375]",False,burgers,0,32,physics_uncalibrated,0.53631335,0.5296338,0.49006375,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__burgers__coefficient,development,1,"[0.5542854, 0.49457605, 0.5352673, 0.49149795, 0.54923525]",True,burgers,3,32,physics_calibrated,0.5542854,0.5352673,0.49149795,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__burgers__coefficient,development,1,"[1.1247331, 1.18556915, 1.17170675, 1.4736145, 1.17379365]",False,burgers,0,32,transformer,1.4736145,1.17379365,1.1247331,100993,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__burgers__coefficient,development,1,"[1.0877875, 1.0846999, 1.2990539, 1.4492075, 1.28806735]",False,burgers,0,32,looped,1.4492075,1.28806735,1.0846999,34049,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__burgers__coefficient,development,1,"[0.6260764, 0.64119965, 0.6830451, 0.77326285, 0.76945765]",False,burgers,0,32,fno,0.77326285,0.6830451,0.6260764,209985,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__burgers__correct,development,1,"[0.6125936, 0.600208, 0.5604682, 0.5291371, 0.628797]",False,burgers,0,32,physics_uncalibrated,0.628797,0.600208,0.5291371,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__burgers__correct,development,1,"[0.56340915, 0.55671205, 0.5389268, 0.50228465, 0.5954108]",True,burgers,3,32,physics_calibrated,0.5954108,0.55671205,0.50228465,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__burgers__correct,development,1,"[1.1486236, 1.26435715, 1.19560775, 1.29558665, 1.33658535]",False,burgers,0,32,transformer,1.33658535,1.26435715,1.1486236,100993,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__burgers__correct,development,1,"[1.18584355, 1.1506316, 1.32237095, 1.19971445, 1.22007255]",False,burgers,0,32,looped,1.32237095,1.19971445,1.1506316,34049,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__burgers__correct,development,1,"[0.69582885, 0.69816885, 0.67690185, 0.7617375, 0.7002039]",False,burgers,0,32,fno,0.7617375,0.69816885,0.67690185,209985,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__gray_scott__coefficient,development,1,"[0.5335537, 0.7215225, 0.6465858, 0.54195335, 0.9730134]",False,gray_scott,0,32,physics_uncalibrated,0.9730134,0.6465858,0.5335537,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__gray_scott__coefficient,development,1,"[0.59120345, 0.5907713, 0.53120965, 0.59989005, 0.53136395]",True,gray_scott,3,32,physics_calibrated,0.59989005,0.5907713,0.53120965,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__gray_scott__coefficient,development,1,"[1.22670055, 1.2023854, 1.26107475, 1.3665795, 1.3487371]",False,gray_scott,0,32,transformer,1.3665795,1.26107475,1.2023854,101122,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__gray_scott__coefficient,development,1,"[1.16313035, 1.2082022, 1.263934, 1.30367485, 1.15341725]",False,gray_scott,0,32,looped,1.30367485,1.2082022,1.15341725,34178,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__gray_scott__coefficient,development,1,"[1.0075859, 0.7924502, 0.6784327, 0.7691036, 0.7043857]",False,gray_scott,0,32,fno,1.0075859,0.7691036,0.6784327,210306,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__gray_scott__correct,development,1,"[0.60159705, 0.59446935, 0.51860475, 0.629138, 0.51071585]",False,gray_scott,0,32,physics_uncalibrated,0.629138,0.59446935,0.51071585,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__gray_scott__correct,development,1,"[0.5438978, 0.54110405, 0.55089225, 0.5152206, 0.55678715]",True,gray_scott,3,32,physics_calibrated,0.55678715,0.5438978,0.5152206,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__gray_scott__correct,development,1,"[1.10489275, 1.1374227, 1.05836475, 1.0643583, 1.0763103]",False,gray_scott,0,32,transformer,1.1374227,1.0763103,1.05836475,101122,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__gray_scott__correct,development,1,"[1.08764435, 1.1500357, 1.0700874, 1.066512, 1.06249345]",False,gray_scott,0,32,looped,1.1500357,1.0700874,1.06249345,34178,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__gray_scott__correct,development,1,"[0.6406433, 0.65226735, 0.63012955, 0.64922725, 0.62491715]",False,gray_scott,0,32,fno,0.65226735,0.6406433,0.62491715,210306,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__ks__coefficient,development,1,"[0.50547195, 0.51265225, 0.5113453, 0.51608945, 0.50034525]",False,ks,0,32,physics_uncalibrated,0.51608945,0.5113453,0.50034525,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__ks__coefficient,development,1,"[0.5432037, 0.50267375, 0.5197339, 0.52147305, 0.52660525]",True,ks,3,32,physics_calibrated,0.5432037,0.52147305,0.50267375,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__ks__coefficient,development,1,"[1.063517, 1.0857785, 1.0719582, 1.0702091, 1.0749807]",False,ks,0,32,transformer,1.0857785,1.0719582,1.063517,100993,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__ks__coefficient,development,1,"[1.05839275, 1.0696983, 1.09085315, 1.0617689, 1.06934875]",False,ks,0,32,looped,1.09085315,1.06934875,1.05839275,34049,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
