job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,mean_nmse,ci95_low,ci95_high,normalized_rmse,n_training_seeds,kind,arm,source,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse,calibration_seconds_current_machine,display_family,mean_nmse_display,ci95_low_display,ci95_high_display
selector_g64__cahn_hilliard__coefficient,selector_g64,cahn_hilliard,coefficient,64,test,64,64,True,calibrated,2.0521260467116596e-12,1.4563413647935869e-12,2.7150046433002796e-12,1.4325243616468306e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,2.0521260467116596e-12,1.1998282599997765,Cahn–Hilliard,2.05e-12,1.46e-12,2.72e-12
selector_g64__cahn_hilliard__coefficient,selector_g64,cahn_hilliard,coefficient,64,test,64,64,True,validation_best_neural,4.568056205063195e-05,3.487036387027803e-05,5.851496032539519e-05,0.00675873967915853,6,validation_best_neural,,frozen_validation_selection,,,,,,Cahn–Hilliard,4.57e-05,3.49e-05,5.85e-05
selector_g64__fitzhugh_nagumo__coefficient,selector_g64,fitzhugh_nagumo,coefficient,64,test,64,64,True,uncalibrated,0.03141502354817449,0.026608831896686013,0.03651575522135243,0.17724283779090905,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.03141502354817449,0.0,FitzHugh–Nagumo,0.0314,0.0266,0.0365
selector_g64__fitzhugh_nagumo__coefficient,selector_g64,fitzhugh_nagumo,coefficient,64,test,64,64,True,calibrated,3.541699357762429e-11,3.1543917309339694e-11,3.932836969231193e-11,5.951217823069854e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,3.541699357762429e-11,1.74861972600047,FitzHugh–Nagumo,3.54e-11,3.15e-11,3.93e-11
selector_g64__fitzhugh_nagumo__coefficient,selector_g64,fitzhugh_nagumo,coefficient,64,test,64,64,True,validation_best_neural,0.00043432305328417836,0.00031792264445836975,0.0005550635170189512,0.020840418740615034,6,validation_best_neural,,frozen_validation_selection,,,,,,FitzHugh–Nagumo,0.000434,0.000318,0.000555
selector_g64__cahn_hilliard__structural,selector_g64,cahn_hilliard,structural,64,test,64,64,True,uncalibrated,0.26738078634641294,0.161197608832149,0.40282754128827425,0.5170887606073187,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.26738078634641294,0.0,Cahn–Hilliard,0.267,0.161,0.403
selector_g64__cahn_hilliard__structural,selector_g64,cahn_hilliard,structural,64,test,64,64,True,calibrated,0.26738078634641294,0.161197608832149,0.40282754128827425,0.5170887606073187,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,0.26738078634641294,2.0216149900006712,Cahn–Hilliard,0.267,0.161,0.403
selector_g64__cahn_hilliard__structural,selector_g64,cahn_hilliard,structural,64,test,64,64,True,validation_best_neural,4.6968038146630204e-05,3.604571196552915e-05,5.9879314091899896e-05,0.00685332314622842,6,validation_best_neural,,frozen_validation_selection,,,,,,Cahn–Hilliard,4.7e-05,3.6e-05,5.99e-05
selector_g64__fitzhugh_nagumo__structural,selector_g64,fitzhugh_nagumo,structural,64,test,64,64,True,uncalibrated,1.6198748296659602,1.5027800688096513,1.7387677139749864,1.2727430336348182,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,1.6198748296659602,0.0,FitzHugh–Nagumo,1.62,1.5,1.74
selector_g64__fitzhugh_nagumo__structural,selector_g64,fitzhugh_nagumo,structural,64,test,64,64,True,calibrated,1.4916272208111891,1.3763630266399145,1.6097208939917855,1.2213219153078312,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,1.4916272208111891,1.8910651779988257,FitzHugh–Nagumo,1.49,1.38,1.61
selector_g64__fitzhugh_nagumo__structural,selector_g64,fitzhugh_nagumo,structural,64,test,64,64,True,validation_best_neural,0.0005038357312551391,0.00033380068329615353,0.0007153422903183623,0.022446285466756834,6,validation_best_neural,,frozen_validation_selection,,,,,,FitzHugh–Nagumo,0.000504,0.000334,0.000715
