stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,advection_diffusion,correct,fno,iid,test,96,6,64,0.00033676522569500174,0.00026030353390211965,0.0004279355727667632,0.018351164150946984,41.913991620686524,43.329350356090195,1.26599483191967
development,32,advection_diffusion,correct,fno,iid,ood,64,6,64,0.02851748480462975,0.015086255852590868,0.044817807363606854,0.1688712077431489,41.913991620686524,43.329350356090195,1.26599483191967
development,32,advection_diffusion,correct,fno,iid,ood,96,6,64,0.04323042843087229,0.022271768246341857,0.06778780772191043,0.20791928345122848,41.913991620686524,43.329350356090195,1.26599483191967
development,32,advection_diffusion,correct,fno,none,test,64,6,64,0.0004245626818379534,0.0003080466401415564,0.0005679415228090545,0.02060491887482097,25.358475003701944,25.392690100939944,1.25926632899791
development,32,advection_diffusion,correct,fno,none,test,96,6,64,0.000625304228676767,0.00042860169370131696,0.0008586629396792916,0.025006083833274795,25.358475003701944,25.392690100939944,1.25926632899791
development,32,advection_diffusion,correct,fno,none,ood,64,6,64,0.0559033271343174,0.028622040982776726,0.08843616787289144,0.23643884438542961,25.358475003701944,25.392690100939944,1.25926632899791
development,32,advection_diffusion,correct,fno,none,ood,96,6,64,0.08174468868864478,0.04238080823671576,0.12820506119329236,0.28591028083761655,25.358475003701944,25.392690100939944,1.25926632899791
development,32,advection_diffusion,correct,fno,response_matched,test,64,6,64,0.00021473667526100923,0.000156776425111974,0.00029043309438976043,0.014653896248472938,41.65945835178718,43.07475024772187,1.2468260945752263
development,32,advection_diffusion,correct,fno,response_matched,test,96,6,64,0.00030977761001248525,0.00022984052814041398,0.00040422275761351276,0.01760050027733545,41.65945835178718,43.07475024772187,1.2468260945752263
development,32,advection_diffusion,correct,fno,response_matched,ood,64,6,64,0.037758882797809125,0.024330605728695786,0.052630283085810324,0.19431645014719964,41.65945835178718,43.07475024772187,1.2468260945752263
development,32,advection_diffusion,correct,fno,response_matched,ood,96,6,64,0.05925277025297377,0.037552234376176316,0.08508939888380336,0.24341891925849513,41.65945835178718,43.07475024772187,1.2468260945752263
