stage,run_id,kind,arm,family,prior,split,horizon,nonfinite_steps,steps_above_cap,affected_trajectories,raw_mean_nmse
development,advection_diffusion__fno__coefficient__s303__response_matched,fno,response_matched,advection_diffusion,coefficient,ood,96,0,0,0,0.10520453131437199
development,advection_diffusion__fno__coefficient__s303__smooth,fno,smooth,advection_diffusion,coefficient,test,64,0,0,0,0.003396697077440551
development,advection_diffusion__fno__coefficient__s303__smooth,fno,smooth,advection_diffusion,coefficient,test,96,0,0,0,0.005075044082125478
development,advection_diffusion__fno__coefficient__s303__smooth,fno,smooth,advection_diffusion,coefficient,ood,64,0,0,0,0.04370149071962115
development,advection_diffusion__fno__coefficient__s303__smooth,fno,smooth,advection_diffusion,coefficient,ood,96,0,0,0,0.06467409237021662
development,advection_diffusion__fno__coefficient__s404__iid,fno,iid,advection_diffusion,coefficient,test,64,0,0,0,0.002100334330110587
development,advection_diffusion__fno__coefficient__s404__iid,fno,iid,advection_diffusion,coefficient,test,96,0,0,0,0.0032796695676406973
development,advection_diffusion__fno__coefficient__s404__iid,fno,iid,advection_diffusion,coefficient,ood,64,0,0,0,0.04565139546217378
development,advection_diffusion__fno__coefficient__s404__iid,fno,iid,advection_diffusion,coefficient,ood,96,0,0,0,0.07102036792690644
development,advection_diffusion__fno__coefficient__s404__none,fno,none,advection_diffusion,coefficient,test,64,0,0,0,0.0002602896076625699
development,advection_diffusion__fno__coefficient__s404__none,fno,none,advection_diffusion,coefficient,test,96,0,0,0,0.00037975983238329924
development,advection_diffusion__fno__coefficient__s404__none,fno,none,advection_diffusion,coefficient,ood,64,0,0,0,0.0888347086650505
development,advection_diffusion__fno__coefficient__s404__none,fno,none,advection_diffusion,coefficient,ood,96,0,0,0,0.12774108590289046
development,advection_diffusion__fno__coefficient__s404__response_matched,fno,response_matched,advection_diffusion,coefficient,test,64,0,0,0,0.00260768099688094
development,advection_diffusion__fno__coefficient__s404__response_matched,fno,response_matched,advection_diffusion,coefficient,test,96,0,0,0,0.003738253792978893
development,advection_diffusion__fno__coefficient__s404__response_matched,fno,response_matched,advection_diffusion,coefficient,ood,64,0,0,0,0.04457576694531662
development,advection_diffusion__fno__coefficient__s404__response_matched,fno,response_matched,advection_diffusion,coefficient,ood,96,0,0,0,0.06957998274892585
development,advection_diffusion__fno__coefficient__s404__smooth,fno,smooth,advection_diffusion,coefficient,test,64,0,0,0,0.0030117569833060798
development,advection_diffusion__fno__coefficient__s404__smooth,fno,smooth,advection_diffusion,coefficient,test,96,0,0,0,0.00465309494247453
development,advection_diffusion__fno__coefficient__s404__smooth,fno,smooth,advection_diffusion,coefficient,ood,64,0,0,0,0.007585606816043922
development,advection_diffusion__fno__coefficient__s404__smooth,fno,smooth,advection_diffusion,coefficient,ood,96,0,0,0,0.01095055225239642
development,advection_diffusion__fno__coefficient__s505__iid,fno,iid,advection_diffusion,coefficient,test,64,0,0,0,0.0020426612235107527
development,advection_diffusion__fno__coefficient__s505__iid,fno,iid,advection_diffusion,coefficient,test,96,0,0,0,0.0027604069413163976
development,advection_diffusion__fno__coefficient__s505__iid,fno,iid,advection_diffusion,coefficient,ood,64,0,0,0,0.01689242402942004
development,advection_diffusion__fno__coefficient__s505__iid,fno,iid,advection_diffusion,coefficient,ood,96,0,0,0,0.023440046857685415
development,advection_diffusion__fno__coefficient__s505__none,fno,none,advection_diffusion,coefficient,test,64,0,0,0,0.0002773606836174447
development,advection_diffusion__fno__coefficient__s505__none,fno,none,advection_diffusion,coefficient,test,96,0,0,0,0.00043682362496829297
development,advection_diffusion__fno__coefficient__s505__none,fno,none,advection_diffusion,coefficient,ood,64,0,0,0,0.026100815694939494
development,advection_diffusion__fno__coefficient__s505__none,fno,none,advection_diffusion,coefficient,ood,96,0,0,0,0.036739134932887454
development,advection_diffusion__fno__coefficient__s505__response_matched,fno,response_matched,advection_diffusion,coefficient,test,64,0,0,0,0.004488446060976536
development,advection_diffusion__fno__coefficient__s505__response_matched,fno,response_matched,advection_diffusion,coefficient,test,96,0,0,0,0.00636358575801288
development,advection_diffusion__fno__coefficient__s505__response_matched,fno,response_matched,advection_diffusion,coefficient,ood,64,0,0,0,0.024154039509340253
development,advection_diffusion__fno__coefficient__s505__response_matched,fno,response_matched,advection_diffusion,coefficient,ood,96,0,0,0,0.03241945888882425
development,advection_diffusion__fno__coefficient__s505__smooth,fno,smooth,advection_diffusion,coefficient,test,64,0,0,0,0.0026389416839400354
development,advection_diffusion__fno__coefficient__s505__smooth,fno,smooth,advection_diffusion,coefficient,test,96,0,0,0,0.0037773414290327902
development,advection_diffusion__fno__coefficient__s505__smooth,fno,smooth,advection_diffusion,coefficient,ood,64,0,0,0,0.01861019994474683
development,advection_diffusion__fno__coefficient__s505__smooth,fno,smooth,advection_diffusion,coefficient,ood,96,0,0,0,0.02739878612139124
development,advection_diffusion__fno__coefficient__s606__iid,fno,iid,advection_diffusion,coefficient,test,64,0,0,0,0.016103377007226444
development,advection_diffusion__fno__coefficient__s606__iid,fno,iid,advection_diffusion,coefficient,test,96,0,0,0,0.02917798526460001
development,advection_diffusion__fno__coefficient__s606__iid,fno,iid,advection_diffusion,coefficient,ood,64,0,0,0,0.1579569402640284
development,advection_diffusion__fno__coefficient__s606__iid,fno,iid,advection_diffusion,coefficient,ood,96,0,0,0,0.2855089313279106
