stage,grid,family,prior,split,horizon,candidate_kind,candidate_arm,baseline_kind,baseline_arm,candidate_mean_nmse,baseline_mean_nmse,difference_nmse,difference_ci95_low,difference_ci95_high,ratio_of_arithmetic_means,ratio_ci95_low,ratio_ci95_high,interpretation,scope
development,32,advection_diffusion,coefficient,ood,96,fno,none,mechanistic,,0.07315159807895903,0.7019240169255561,-0.6287724188465971,-0.7704909856035852,-0.5046887872626128,0.10421583578143512,0.0591994849533665,0.1518648092956248,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,none,transformer,none,0.07315159807895903,1.462410404479139,-1.38925880640018,-2.0466219101417624,-0.9263359247164702,0.050021251117269745,0.036462653045143935,0.06618214755281397,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,none,mechanistic,,0.0003369979012111661,0.5313244237183632,-0.5309874258171521,-0.6353823385023812,-0.4299057088151324,0.0006342601359311822,0.00047073578440024627,0.0008313137662281023,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,none,transformer,none,0.0003369979012111661,0.0026425709727570155,-0.0023055730715458495,-0.0029868581982329754,-0.0017459223616792007,0.1275265280234171,0.10114887051524662,0.16455093948159843,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,none,mechanistic,,0.0004868690648330344,0.7447897696842862,-0.7443029006194531,-0.8849600458271983,-0.6082672628565443,0.0006536999897829108,0.0004581835379148864,0.0009009223998980936,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,none,transformer,none,0.0004868690648330344,0.0038172295540544036,-0.0033303604892213692,-0.004677978919504374,-0.002160523743431734,0.12754513658103558,0.08886950570766079,0.17770516277702803,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,fno,response_matched,mechanistic,,0.047449007298000855,0.5686829936930753,-0.5212339863950745,-0.633762840582283,-0.41880371815168993,0.08343665596515029,0.046564988891587056,0.13129676648753524,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,fno,response_matched,transformer,response_matched,0.047449007298000855,1.2867876219691017,-1.2393386146711007,-1.7164352519521937,-0.7569442532142586,0.03687400040839078,0.018929339448767915,0.07413997575485651,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,response_matched,mechanistic,,0.07991565999880841,0.7019240169255561,-0.6220083569267476,-0.7617678848176855,-0.49691820116342744,0.11385229465269034,0.05629926135560467,0.19166102756205058,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,response_matched,transformer,response_matched,0.07991565999880841,1.6637708274325511,-1.5838551674337427,-2.289617467004266,-0.8597730792295274,0.04803285325186901,0.021170387577253064,0.11521581238608462,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,response_matched,mechanistic,,0.002909496021394032,0.5313244237183632,-0.5284149276969692,-0.6328421417873921,-0.42787042214480675,0.0054759312606646815,0.0027815970733746746,0.00890530367449156,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,response_matched,transformer,response_matched,0.002909496021394032,0.005363435797302696,-0.0024539397759086637,-0.0042645114445249415,-0.00047334719019206494,0.5424686956926444,0.26172418691472304,0.9059099411148143,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,response_matched,mechanistic,,0.004695649061099541,0.7447897696842862,-0.7400941206231867,-0.8807989596707536,-0.6046381340575266,0.0063046637483890385,0.002972409826560144,0.010822178311882398,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,response_matched,transformer,response_matched,0.004695649061099541,0.0070622351911461155,-0.0023665861300465746,-0.005409937270156827,0.0012918778166060103,0.6648955938180096,0.2941670986598416,1.1950699017398871,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
