comparison,label,mse_ratio,ratio_ci95_low,ratio_ci95_high,mse_reduction_percent,p_holm
wave/correct,GREEN,0.6467710264377579,0.557778435700008,0.7256672483091261,35.32289735622422,0.0002999850007499625
wave/coefficient,GREEN,3.109399807321877,2.5795244688391015,3.6813389601644557,-210.9399807321877,0.0002999850007499625
advection_diffusion/correct,GREEN,0.7535823130083349,0.5699349703582587,0.9249017503468215,24.641768699166512,0.024098795060246987
advection_diffusion/coefficient,GREEN,3.4087694615214623,2.7996070090349514,4.160538392176435,-240.87694615214622,0.0002999850007499625
allen_cahn/correct,GREEN,0.16781352379701928,0.14479240054462297,0.19340697428645134,83.21864762029807,0.0002999850007499625
allen_cahn/coefficient,GREEN,0.24696331934962532,0.20193354035742375,0.30055394572124416,75.30366806503747,0.0002999850007499625
selector vs none,YELLOW,0.9765663019489297,0.9116909207172209,1.0467379775123176,2.3433698051070317,0.5104744762761861
selector vs probe_best,GREEN,0.8099302880595893,0.7628039948455346,0.8629761464193467,19.006971194041068,9.99950002499875e-05
