family,kind,prior,seed,split,policy,selected_arm,estimated_training_seconds,selected_inference_ms_per_step
advection_diffusion,fno,correct,202,development_lofo,best_fixed,smooth,43.20947376638651,1.2450935551896691
advection_diffusion,fno,correct,202,development_lofo,hand_rule,none,27.294157348107547,1.2521465541794896
advection_diffusion,fno,correct,202,development_lofo,none,none,25.984904549084604,1.2521465541794896
advection_diffusion,fno,correct,202,development_lofo,probe_best,smooth,51.3501073140651,1.2450935551896691
advection_diffusion,fno,correct,202,development_lofo,random,response_matched,42.87647492624819,1.244359603151679
advection_diffusion,fno,correct,202,development_lofo,ridge_selector,none,36.397620173636824,1.2521465541794896
advection_diffusion,fno,correct,202,development_lofo,full_validation,smooth,152.69749195687473,1.2450935551896691
advection_diffusion,fno,correct,303,development_lofo,always_smooth,smooth,42.68528601992875,1.278586545959115
advection_diffusion,fno,correct,303,development_lofo,best_fixed,smooth,42.68528601992875,1.278586545959115
advection_diffusion,fno,correct,303,development_lofo,hand_rule,none,27.095093928743154,1.2711250921711326
advection_diffusion,fno,correct,303,development_lofo,none,none,25.7803408857435,1.2711250921711326
advection_diffusion,fno,correct,303,development_lofo,probe_best,response_matched,50.820152717642486,1.2841656105592847
advection_diffusion,fno,correct,303,development_lofo,random,iid,43.54679087549448,1.2897975509986281
advection_diffusion,fno,correct,303,development_lofo,ridge_selector,none,36.18904079915956,1.2711250921711326
advection_diffusion,fno,correct,303,development_lofo,full_validation,smooth,152.37405500235036,1.278586545959115
advection_diffusion,fno,correct,404,development_lofo,always_smooth,smooth,43.30614103935659,1.2520645977929235
advection_diffusion,fno,correct,404,development_lofo,best_fixed,smooth,43.30614103935659,1.2520645977929235
advection_diffusion,fno,correct,404,development_lofo,hand_rule,none,26.22737748362124,1.2786826118826866
advection_diffusion,fno,correct,404,development_lofo,none,none,24.902744764462113,1.2786826118826866
advection_diffusion,fno,correct,404,development_lofo,probe_best,response_matched,50.98710492067039,1.244952599518001
advection_diffusion,fno,correct,404,development_lofo,random,response_matched,43.066184383351356,1.244952599518001
advection_diffusion,fno,correct,404,development_lofo,ridge_selector,none,35.27467205282301,1.2786826118826866
advection_diffusion,fno,correct,404,development_lofo,full_validation,smooth,151.15004546940327,1.2520645977929235
advection_diffusion,fno,correct,505,development_lofo,always_smooth,smooth,43.20798853272572,1.245596050284803
advection_diffusion,fno,correct,505,development_lofo,best_fixed,smooth,43.20798853272572,1.245596050284803
advection_diffusion,fno,correct,505,development_lofo,hand_rule,none,26.2352357218042,1.247180555947125
advection_diffusion,fno,correct,505,development_lofo,none,none,24.908903485164046,1.247180555947125
advection_diffusion,fno,correct,505,development_lofo,probe_best,response_matched,51.15542802494019,1.3903521001338959
advection_diffusion,fno,correct,505,development_lofo,random,iid,43.428133986424655,1.2802961049601436
advection_diffusion,fno,correct,505,development_lofo,ridge_selector,none,35.35733061423525,1.247180555947125
advection_diffusion,fno,correct,505,development_lofo,full_validation,smooth,152.09105045394972,1.245596050284803
advection_diffusion,fno,correct,606,development_lofo,always_smooth,smooth,43.30974427936599,1.248255092650652
advection_diffusion,fno,correct,606,development_lofo,best_fixed,smooth,43.30974427936599,1.248255092650652
advection_diffusion,fno,correct,606,development_lofo,hand_rule,none,26.84690880589187,1.247711549513042
advection_diffusion,fno,correct,606,development_lofo,none,none,25.527229039929807,1.247711549513042
advection_diffusion,fno,correct,606,development_lofo,probe_best,response_matched,50.76028074743226,1.2449345318600535
advection_diffusion,fno,correct,606,development_lofo,random,smooth,43.30974427936599,1.248255092650652
advection_diffusion,fno,correct,606,development_lofo,ridge_selector,none,35.95723455119878,1.247711549513042
advection_diffusion,fno,correct,606,development_lofo,full_validation,smooth,152.93208004534245,1.248255092650652
advection_diffusion,looped,coefficient,101,development_lofo,always_smooth,smooth,71.69775683665648,1.5802905894815922
advection_diffusion,looped,coefficient,101,development_lofo,best_fixed,smooth,71.69775683665648,1.5802905894815922
advection_diffusion,looped,coefficient,101,development_lofo,hand_rule,none,40.24478414282203,1.5403781086206436
advection_diffusion,looped,coefficient,101,development_lofo,none,none,38.91101189516485,1.5403781086206436
advection_diffusion,looped,coefficient,101,development_lofo,probe_best,response_matched,88.75536527810618,1.5435446053743362
advection_diffusion,looped,coefficient,101,development_lofo,random,response_matched,75.93255154322833,1.5435446053743362
advection_diffusion,looped,coefficient,101,development_lofo,ridge_selector,none,55.59071614779532,1.5403781086206436
advection_diffusion,looped,coefficient,101,development_lofo,full_validation,none,257.59732489520684,1.5403781086206436
advection_diffusion,looped,coefficient,202,development_lofo,always_smooth,smooth,75.4370013512671,1.5384300611913204
advection_diffusion,looped,coefficient,202,development_lofo,best_fixed,smooth,75.4370013512671,1.5384300611913204
advection_diffusion,looped,coefficient,202,development_lofo,hand_rule,none,41.332914896309376,1.537775550968945
advection_diffusion,looped,coefficient,202,development_lofo,none,none,40.01493500825018,1.537775550968945
advection_diffusion,looped,coefficient,202,development_lofo,probe_best,none,56.851654830854386,1.537775550968945
advection_diffusion,looped,coefficient,202,development_lofo,random,iid,74.86604461679235,1.5233305981382728
advection_diffusion,looped,coefficient,202,development_lofo,ridge_selector,none,56.851654830854386,1.537775550968945
advection_diffusion,looped,coefficient,202,development_lofo,full_validation,none,259.10713367769495,1.537775550968945
advection_diffusion,looped,coefficient,303,development_lofo,always_smooth,smooth,71.62181519670412,1.5525085385888815
advection_diffusion,looped,coefficient,303,development_lofo,best_fixed,smooth,71.62181519670412,1.5525085385888815
advection_diffusion,looped,coefficient,303,development_lofo,hand_rule,none,40.18670202186331,1.536723063327372
advection_diffusion,looped,coefficient,303,development_lofo,none,none,38.85711574880406,1.536723063327372
advection_diffusion,looped,coefficient,303,development_lofo,probe_best,response_matched,84.00413186708465,1.5257145510986447
advection_diffusion,looped,coefficient,303,development_lofo,random,response_matched,71.21855097124353,1.5257145510986447
advection_diffusion,looped,coefficient,303,development_lofo,ridge_selector,none,55.3686409057118,1.536723063327372
advection_diffusion,looped,coefficient,303,development_lofo,full_validation,none,249.51626682747155,1.536723063327372
advection_diffusion,looped,coefficient,404,development_lofo,always_smooth,smooth,70.45596589986235,1.539788581430912
advection_diffusion,looped,coefficient,404,development_lofo,best_fixed,smooth,70.45596589986235,1.539788581430912
advection_diffusion,looped,coefficient,404,development_lofo,hand_rule,none,40.10259855724871,1.5259395819157362
advection_diffusion,looped,coefficient,404,development_lofo,none,none,38.780015994329005,1.5259395819157362
advection_diffusion,looped,coefficient,404,development_lofo,probe_best,response_matched,84.46649740030989,1.5415740897879004
advection_diffusion,looped,coefficient,404,development_lofo,random,none,38.780015994329005,1.5259395819157362
advection_diffusion,looped,coefficient,404,development_lofo,ridge_selector,none,55.742985299322754,1.5259395819157362
advection_diffusion,looped,coefficient,404,development_lofo,full_validation,iid,248.24597655888647,1.5437441179528832
advection_diffusion,looped,coefficient,505,development_lofo,always_smooth,smooth,70.22036642301828,1.544695091433823
advection_diffusion,looped,coefficient,505,development_lofo,best_fixed,smooth,70.22036642301828,1.544695091433823
advection_diffusion,looped,coefficient,505,development_lofo,hand_rule,none,41.55118842096999,1.5664770966395736
advection_diffusion,looped,coefficient,505,development_lofo,none,none,40.22332011535764,1.5664770966395736
advection_diffusion,looped,coefficient,505,development_lofo,probe_best,response_matched,84.19728074828163,1.5575115568935871
advection_diffusion,looped,coefficient,505,development_lofo,random,smooth,70.22036642301828,1.544695091433823
advection_diffusion,looped,coefficient,505,development_lofo,ridge_selector,none,57.56846347404644,1.5664770966395736
advection_diffusion,looped,coefficient,505,development_lofo,full_validation,none,247.60156294191256,1.5664770966395736
advection_diffusion,looped,coefficient,606,development_lofo,always_smooth,smooth,69.20118227228522,1.5404300298541784
advection_diffusion,looped,coefficient,606,development_lofo,best_fixed,smooth,69.20118227228522,1.5404300298541784
advection_diffusion,looped,coefficient,606,development_lofo,hand_rule,none,40.93122078711167,1.610389119014144
