family,kind,prior,seed,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,capped_trajectories,trajectories,parameter_count,inference_ms_per_step
advection_diffusion,fno,coefficient,202,response_matched,final_step,test,64,0.0534218493860838,0,0,64,209985,
advection_diffusion,fno,coefficient,202,response_matched,final_step,test,96,0.09678942507771189,0,0,64,209985,
advection_diffusion,fno,coefficient,202,response_matched,validation_best,ood,64,0.01606250797997799,0,0,64,209985,1.2273780535906553
advection_diffusion,fno,coefficient,202,response_matched,validation_best,ood,96,0.02210173714822387,0,0,64,209985,1.2273780535906553
advection_diffusion,fno,coefficient,202,response_matched,final_step,ood,64,0.028442993626497604,0,0,64,209985,
advection_diffusion,fno,coefficient,202,response_matched,final_step,ood,96,0.04600816815455211,0,0,64,209985,
advection_diffusion,fno,coefficient,202,smooth,validation_best,test,64,0.0018379552624476492,0,0,64,209985,1.24579556286335
advection_diffusion,fno,coefficient,202,smooth,validation_best,test,96,0.002737091198304805,0,0,64,209985,1.24579556286335
advection_diffusion,fno,coefficient,202,smooth,final_step,test,64,0.019273551497433428,0,0,64,209985,
advection_diffusion,fno,coefficient,202,smooth,final_step,test,96,0.0297500040698625,0,0,64,209985,
advection_diffusion,fno,coefficient,202,smooth,validation_best,ood,64,0.07853216634685145,0,0,64,209985,1.24579556286335
advection_diffusion,fno,coefficient,202,smooth,validation_best,ood,96,0.11974745911322149,0,0,64,209985,1.24579556286335
advection_diffusion,fno,coefficient,202,smooth,final_step,ood,64,0.009817657269723279,0,0,64,209985,
advection_diffusion,fno,coefficient,202,smooth,final_step,ood,96,0.014414325153070617,0,0,64,209985,
advection_diffusion,fno,coefficient,303,iid,validation_best,test,64,0.006600227996502728,0,0,64,209985,1.2503645848482847
advection_diffusion,fno,coefficient,303,iid,validation_best,test,96,0.012534818054236098,0,0,64,209985,1.2503645848482847
advection_diffusion,fno,coefficient,303,iid,final_step,test,64,0.029889638887191483,0,0,64,209985,
advection_diffusion,fno,coefficient,303,iid,final_step,test,96,0.050508758241539296,0,0,64,209985,
advection_diffusion,fno,coefficient,303,iid,validation_best,ood,64,0.021572911492263813,0,0,64,209985,1.2503645848482847
advection_diffusion,fno,coefficient,303,iid,validation_best,ood,96,0.18304491491964825,0,0,64,209985,1.2503645848482847
advection_diffusion,fno,coefficient,303,iid,final_step,ood,64,0.0344583723586287,0,0,64,209985,
advection_diffusion,fno,coefficient,303,iid,final_step,ood,96,0.0706650205040189,0,0,64,209985,
advection_diffusion,fno,coefficient,303,none,validation_best,test,64,0.0002873612810928936,0,0,64,209985,1.2451375368982553
advection_diffusion,fno,coefficient,303,none,validation_best,test,96,0.00034669301001283867,0,0,64,209985,1.2451375368982553
advection_diffusion,fno,coefficient,303,none,final_step,test,64,0.000387188915318264,0,0,64,209985,
advection_diffusion,fno,coefficient,303,none,final_step,test,96,0.0005004679450524031,0,0,64,209985,
advection_diffusion,fno,coefficient,303,none,validation_best,ood,64,0.07360327792043697,0,0,64,209985,1.2451375368982553
advection_diffusion,fno,coefficient,303,none,validation_best,ood,96,0.10178004335584712,0,0,64,209985,1.2451375368982553
advection_diffusion,fno,coefficient,303,none,final_step,ood,64,0.05756791668954486,0,0,64,209985,
advection_diffusion,fno,coefficient,303,none,final_step,ood,96,0.0797434972697948,0,0,64,209985,
advection_diffusion,fno,coefficient,303,response_matched,validation_best,test,64,0.00627725085822832,0,0,64,209985,1.2289065634831786
