split,policy,mean_estimated_training_seconds_per_case,cost_ratio_to_none,measured_mean_cost_below_probe_best,mean_selected_inference_ms_per_step,median_selected_inference_ms_per_step,selected_inference_measurements
development_lofo,ridge_selector,65.2230068613801,1.8235706119118107,True,1.4558640730360315,1.5349319321103394,180
development_lofo,none,35.76664727723433,1.0,True,1.457313623589774,1.5355109120719135,180
development_lofo,always_smooth,64.19054860263908,1.7947041025423909,True,1.4596305779802303,1.5354021568782628,180
development_lofo,best_fixed,56.09907586438478,1.5684745463993255,True,1.4599018783256825,1.5362126985564828,180
development_lofo,random,58.60462277192209,1.6385271540177113,True,1.4557406513227358,1.5336113283410668,180
development_lofo,hand_rule,40.84285618818055,1.141925768764389,True,1.4588819043193426,1.5355956507846713,180
development_lofo,probe_best,71.80972665067658,2.0077287673643336,False,1.457781942638879,1.5349839348345995,180
development_lofo,full_validation,223.1188313724706,6.2381813325423705,False,1.4587096127474473,1.5342525206506252,180
confirmation,ridge_selector,71.94955192842625,2.0068837269506896,False,1.4513410614906914,1.5245999791659415,36
confirmation,none,35.85138040744803,1.0,True,1.4432367558280628,1.5239711967296898,36
confirmation,always_smooth,65.06959908013232,1.8149816922144029,True,1.4459664500059768,1.5243144589476287,36
confirmation,best_fixed,65.06959908013232,1.8149816922144029,True,1.4459664500059768,1.5243144589476287,36
confirmation,random,58.28715611192294,1.6257994936176552,True,1.4444938867301162,1.5248261974193156,36
confirmation,hand_rule,39.30890222757848,1.0964404098485467,True,1.4432367558280628,1.5239711967296898,36
confirmation,probe_best,65.6670674060135,1.8316468336703524,False,1.4473390513254951,1.52673494303599,36
confirmation,full_validation,224.2095713593428,6.2538616034088275,False,1.4465824539204024,1.5245657414197922,36
