job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse
development__burgers__coefficient,development,burgers,coefficient,32,test,96,64,False,persistence,0,0,0,1.0653304802911545
development__burgers__coefficient,development,burgers,coefficient,32,ood,64,64,True,calibrated,0,0,0,1.672070575860471e-11
development__burgers__coefficient,development,burgers,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.010053786692552413
development__burgers__coefficient,development,burgers,coefficient,32,ood,64,64,True,persistence,0,0,0,0.81375216952644
development__burgers__coefficient,development,burgers,coefficient,32,ood,96,64,False,calibrated,0,0,0,1.924141109328658e-11
development__burgers__coefficient,development,burgers,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,0.011435151169138402
development__burgers__coefficient,development,burgers,coefficient,32,ood,96,64,False,persistence,0,0,0,1.0417534386756522
development__burgers__correct,development,burgers,correct,32,test,64,64,True,calibrated,0,0,0,2.5307297822072228e-11
development__burgers__correct,development,burgers,correct,32,test,64,64,True,uncalibrated,0,0,0,2.5307297822072228e-11
development__burgers__correct,development,burgers,correct,32,test,64,64,True,persistence,0,0,0,0.811704307409375
development__burgers__correct,development,burgers,correct,32,test,96,64,False,calibrated,0,0,0,1.8963068646859797e-11
development__burgers__correct,development,burgers,correct,32,test,96,64,False,uncalibrated,0,0,0,1.8963068646859797e-11
development__burgers__correct,development,burgers,correct,32,test,96,64,False,persistence,0,0,0,1.0653304802911545
development__burgers__correct,development,burgers,correct,32,ood,64,64,True,calibrated,0,0,0,9.77417205336146e-12
development__burgers__correct,development,burgers,correct,32,ood,64,64,True,uncalibrated,0,0,0,9.77417205336146e-12
development__burgers__correct,development,burgers,correct,32,ood,64,64,True,persistence,0,0,0,0.81375216952644
development__burgers__correct,development,burgers,correct,32,ood,96,64,False,calibrated,0,0,0,1.0332348426283142e-11
development__burgers__correct,development,burgers,correct,32,ood,96,64,False,uncalibrated,0,0,0,1.0332348426283142e-11
development__burgers__correct,development,burgers,correct,32,ood,96,64,False,persistence,0,0,0,1.0417534386756522
development__gray_scott__coefficient,development,gray_scott,coefficient,32,test,64,64,True,calibrated,0,0,0,2.1063572677062424e-11
development__gray_scott__coefficient,development,gray_scott,coefficient,32,test,64,64,True,uncalibrated,0,0,0,0.7340473871409614
development__gray_scott__coefficient,development,gray_scott,coefficient,32,test,64,64,True,persistence,0,0,0,2.0360773253215143
development__gray_scott__coefficient,development,gray_scott,coefficient,32,test,96,64,False,calibrated,0,0,0,4.390007067671955e-11
development__gray_scott__coefficient,development,gray_scott,coefficient,32,test,96,64,False,uncalibrated,0,0,0,1.2035563758182
development__gray_scott__coefficient,development,gray_scott,coefficient,32,test,96,64,False,persistence,0,0,0,2.684817013390216
development__gray_scott__coefficient,development,gray_scott,coefficient,32,ood,64,64,True,calibrated,0,0,0,4.283180781311804e-12
development__gray_scott__coefficient,development,gray_scott,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.7143331766324437
development__gray_scott__coefficient,development,gray_scott,coefficient,32,ood,64,64,True,persistence,0,0,0,0.3179615921929262
development__gray_scott__coefficient,development,gray_scott,coefficient,32,ood,96,64,False,calibrated,0,0,0,8.107799358411014e-12
development__gray_scott__coefficient,development,gray_scott,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,1.3049249092325161
development__gray_scott__coefficient,development,gray_scott,coefficient,32,ood,96,64,False,persistence,0,0,0,0.4601266146360364
development__gray_scott__correct,development,gray_scott,correct,32,test,64,64,True,calibrated,0,0,0,2.0565963610449252e-11
development__gray_scott__correct,development,gray_scott,correct,32,test,64,64,True,uncalibrated,0,0,0,1.994060227972013e-11
development__gray_scott__correct,development,gray_scott,correct,32,test,64,64,True,persistence,0,0,0,2.0360773253215143
development__gray_scott__correct,development,gray_scott,correct,32,test,96,64,False,calibrated,0,0,0,4.263215364600329e-11
development__gray_scott__correct,development,gray_scott,correct,32,test,96,64,False,uncalibrated,0,0,0,3.995748662232707e-11
development__gray_scott__correct,development,gray_scott,correct,32,test,96,64,False,persistence,0,0,0,2.684817013390216
development__gray_scott__correct,development,gray_scott,correct,32,ood,64,64,True,calibrated,0,0,0,4.280902369766356e-12
development__gray_scott__correct,development,gray_scott,correct,32,ood,64,64,True,uncalibrated,0,0,0,4.3349768822644334e-12
development__gray_scott__correct,development,gray_scott,correct,32,ood,64,64,True,persistence,0,0,0,0.3179615921929262
development__gray_scott__correct,development,gray_scott,correct,32,ood,96,64,False,calibrated,0,0,0,8.032420479762876e-12
development__gray_scott__correct,development,gray_scott,correct,32,ood,96,64,False,uncalibrated,0,0,0,8.082874187375344e-12
development__gray_scott__correct,development,gray_scott,correct,32,ood,96,64,False,persistence,0,0,0,0.4601266146360364
development__ks__coefficient,development,ks,coefficient,32,test,64,64,True,calibrated,0,0,0,1.8063354812870412e-07
development__ks__coefficient,development,ks,coefficient,32,test,64,64,True,uncalibrated,0,0,0,0.586488938329353
development__ks__coefficient,development,ks,coefficient,32,test,64,64,True,persistence,0,0,0,1.0496889516654164
development__ks__coefficient,development,ks,coefficient,32,test,96,64,False,calibrated,0,0,0,3.4690398949043888e-06
development__ks__coefficient,development,ks,coefficient,32,test,96,64,False,uncalibrated,0,0,0,0.7736805793532919
development__ks__coefficient,development,ks,coefficient,32,test,96,64,False,persistence,0,0,0,1.2703809024728039
development__ks__coefficient,development,ks,coefficient,32,ood,64,64,True,calibrated,0,0,0,4.2727818402924705e-06
development__ks__coefficient,development,ks,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.7806519249425037
development__ks__coefficient,development,ks,coefficient,32,ood,64,64,True,persistence,0,0,0,1.2648281802265444
development__ks__coefficient,development,ks,coefficient,32,ood,96,64,False,calibrated,0,0,0,7.067615813370262e-05
development__ks__coefficient,development,ks,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,0.9354261005161486
development__ks__coefficient,development,ks,coefficient,32,ood,96,64,False,persistence,0,0,0,1.4557187522355548
development__ks__correct,development,ks,correct,32,test,64,64,True,calibrated,0,0,0,1.8056909080789612e-07
development__ks__correct,development,ks,correct,32,test,64,64,True,uncalibrated,0,0,0,2.4259880928928445e-07
development__ks__correct,development,ks,correct,32,test,64,64,True,persistence,0,0,0,1.0496889516654164
development__ks__correct,development,ks,correct,32,test,96,64,False,calibrated,0,0,0,3.461321767005529e-06
development__ks__correct,development,ks,correct,32,test,96,64,False,uncalibrated,0,0,0,4.105139122896057e-06
development__ks__correct,development,ks,correct,32,test,96,64,False,persistence,0,0,0,1.2703809024728039
development__ks__correct,development,ks,correct,32,ood,64,64,True,calibrated,0,0,0,4.27508145196064e-06
development__ks__correct,development,ks,correct,32,ood,64,64,True,uncalibrated,0,0,0,4.22577132950489e-06
development__ks__correct,development,ks,correct,32,ood,64,64,True,persistence,0,0,0,1.2648281802265444
development__ks__correct,development,ks,correct,32,ood,96,64,False,calibrated,0,0,0,7.064598095602603e-05
development__ks__correct,development,ks,correct,32,ood,96,64,False,uncalibrated,0,0,0,7.657434359925911e-05
development__ks__correct,development,ks,correct,32,ood,96,64,False,persistence,0,0,0,1.4557187522355548
development__wave__coefficient,development,wave,coefficient,32,test,64,64,True,calibrated,0,0,0,4.458420675994616e-11
development__wave__coefficient,development,wave,coefficient,32,test,64,64,True,uncalibrated,0,0,0,0.39735740397071595
development__wave__coefficient,development,wave,coefficient,32,test,64,64,True,persistence,0,0,0,1.6768549606833858
development__wave__coefficient,development,wave,coefficient,32,test,96,64,False,calibrated,0,0,0,9.01406538016779e-11
development__wave__coefficient,development,wave,coefficient,32,test,96,64,False,uncalibrated,0,0,0,0.5797535143190468
development__wave__coefficient,development,wave,coefficient,32,test,96,64,False,persistence,0,0,0,1.733563930633712
development__wave__coefficient,development,wave,coefficient,32,ood,64,64,True,calibrated,0,0,0,2.6456068605522642e-09
development__wave__coefficient,development,wave,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.7427219562042069
development__wave__coefficient,development,wave,coefficient,32,ood,64,64,True,persistence,0,0,0,1.9645933140507168
development__wave__coefficient,development,wave,coefficient,32,ood,96,64,False,calibrated,0,0,0,4.825767097103066e-09
development__wave__coefficient,development,wave,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,0.9065306353508049
development__wave__coefficient,development,wave,coefficient,32,ood,96,64,False,persistence,0,0,0,1.7150026313634044
development__wave__correct,development,wave,correct,32,test,64,64,True,calibrated,0,0,0,4.504966498154004e-11
development__wave__correct,development,wave,correct,32,test,64,64,True,uncalibrated,0,0,0,8.927831367177165e-11
development__wave__correct,development,wave,correct,32,test,64,64,True,persistence,0,0,0,1.6768549606833858
