job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,mean_nmse,ci95_low,ci95_high,normalized_rmse,n_training_seeds,kind,arm,source,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse,calibration_seconds_current_machine,archived_mean_training_validation_seconds,archived_mean_fixed_choice_route_seconds,archived_median_inference_ms_per_step,archived_parameter_count,archived_gpu,cost_scope
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,uncalibrated,0.744788770889888,0.6024998946692276,0.8867474985935564,0.8630114546689911,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.744788770889888,0.0,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,persistence,1.7984063005017863,1.4744123673058824,2.150936183948305,1.3410467182398182,0,persistence,,new_frozen_physics_evaluation,0,0,0,1.7984063005017863,0.0,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:fno:iid,0.008634919838500272,0.0022393786388935797,0.019578214982100016,0.09292426937296991,6,fno,iid,archived_neural_scores,,,,,,42.15209199495924,43.51371406352458,1.2630178360268474,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:fno:none,0.0004868690648330344,0.0003424115163441088,0.0006813384121211435,0.022065109671901346,6,fno,none,archived_neural_scores,,,,,,24.847697846746694,24.881939032968756,1.2434787931852043,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:fno:response_matched,0.004695649061099541,0.002094796438525935,0.008076772541001575,0.06852480617338177,6,fno,response_matched,archived_neural_scores,,,,,,41.94662354762355,43.3085017791794,1.2301050242967904,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:fno:smooth,0.004040881321821715,0.0030572938316295434,0.005125802064610465,0.0635679268328118,6,fno,smooth,archived_neural_scores,,,,,,42.259653414289154,43.62127066155275,1.243226311635226,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:looped:iid,0.5441895854204434,0.010738053032770648,1.8207075191336517,0.7376920668005339,6,looped,iid,archived_neural_scores,,,,,,70.35288086471458,71.7188390319546,1.5433653490617871,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:looped:none,4.02097421098805,0.005089762331600523,12.755862736697937,2.00523669699815,6,looped,none,archived_neural_scores,,,,,,39.358808988860496,39.39760175145542,1.5390768297947943,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:looped:response_matched,0.6124283653209514,0.010791724125798076,2.0575317312487034,0.7825780250690351,6,looped,response_matched,archived_neural_scores,,,,,,70.26036299555562,71.62623201667641,1.53994660358876,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:looped:smooth,6.466729805571988,0.01817819209565913,18.470029311013025,2.542976564101995,6,looped,smooth,archived_neural_scores,,,,,,70.07274281202506,71.43901466329892,1.5425625606440008,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
